source,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating
city scrape,40.45724,-3.67688,Private room in rental unit,Private room,2,1.0,1.0,90.0,4,1125,4.87
city scrape,40.40381,-3.7413,Private room in rental unit,Private room,1,1.0,1.0,31.0,4,40,4.58
city scrape,40.38975,-3.69018,Private room in home,Private room,1,1.0,1.0,29.0,3,1125,4.71
city scrape,40.41476,-3.70418,Entire rental unit,Entire home/apt,2,1.0,2.0,150.0,5,180,4.63
previous scrape,40.41259,-3.70105,Entire loft,Entire home/apt,2,1.0,1.0,54.0,3,730,4.38
city scrape,40.41969,-3.69736,Entire rental unit,Entire home/apt,4,1.0,2.0,98.0,2,500,4.61
city scrape,40.42247,-3.70577,Entire rental unit,Entire home/apt,3,1.0,3.0,150.0,5,180,4.65
city scrape,40.41884,-3.69655,Private room in rental unit,Private room,3,1.0,2.0,70.0,1,20,4.58
city scrape,40.42252,-3.7025,Entire rental unit,Entire home/apt,2,1.0,1.0,99.0,28,360,4.37
city scrape,40.42252,-3.7025,Entire rental unit,Entire home/apt,2,1.0,2.0,69.0,28,360,4.28
city scrape,40.40864,-3.70884,Entire rental unit,Entire home/apt,4,1.0,2.0,80.0,8,1125,4.6
previous scrape,40.42342,-3.68123,Entire rental unit,Entire home/apt,2,1.0,1.0,63.0,3,365,4.78
previous scrape,40.40866,-3.70374,Entire rental unit,Entire home/apt,2,1.0,1.0,80.0,7,1125,4.68
city scrape,40.40939,-3.69812,Entire rental unit,Entire home/apt,5,3.0,3.0,143.0,4,365,4.81
city scrape,40.41358,-3.71353,Entire loft,Entire home/apt,6,2.0,3.0,160.0,3,1125,4.82
city scrape,40.42792,-3.67682,Entire condo,Entire home/apt,3,2.0,2.0,168.0,10,999,4.82
city scrape,40.42378,-3.70248,Private room in rental unit,Private room,3,1.0,2.0,30.0,1,1125,4.5
previous scrape,40.50044,-3.67032,Entire rental unit,Entire home/apt,2,1.0,1.0,60.0,2,30,4.67
city scrape,40.41189,-3.70107,Entire rental unit,Entire home/apt,2,1.0,1.0,73.0,1,1125,4.42
city scrape,40.42943,-3.71594,Entire rental unit,Entire home/apt,3,2.0,2.0,70.0,11,365,4.57
city scrape,40.43815,-3.69764,Entire rental unit,Entire home/apt,4,2.0,3.0,100.0,2,30,4.57
previous scrape,40.40115,-3.69657,Entire rental unit,Entire home/apt,8,3.0,6.0,149.0,3,1125,4.18
city scrape,40.42297,-3.61193,Private room in rental unit,Private room,2,1.0,1.0,30.0,5,1000,4.76
city scrape,40.42555,-3.70379,Private room in rental unit,Private room,3,1.0,2.0,27.0,2,1120,4.64
city scrape,40.42756,-3.61577,Private room in rental unit,Private room,2,1.0,2.0,30.0,5,1000,4.57
city scrape,40.4382,-3.69389,Entire rental unit,Entire home/apt,4,1.0,2.0,85.0,2,90,4.56
city scrape,40.42398,-3.70451,Private room in rental unit,Private room,3,1.0,1.0,37.0,2,1124,4.13
city scrape,40.41143,-3.70912,Private room in rental unit,Private room,2,1.0,2.0,37.0,1,365,4.77
city scrape,40.47731,-3.66659,Private room in rental unit,Private room,1,1.0,1.0,24.0,1,1125,4.93
city scrape,40.41012,-3.69709,Private room in rental unit,Private room,1,1.0,1.0,33.0,3,730,4.78
city scrape,40.41152,-3.70991,Entire rental unit,Entire home/apt,5,2.0,2.0,174.0,4,60,4.67
city scrape,40.41027,-3.7122,Entire rental unit,Entire home/apt,6,3.0,5.0,225.0,1,1125,4.77
city scrape,40.42162,-3.71158,Entire rental unit,Entire home/apt,2,1.0,1.0,65.0,5,1125,4.68
city scrape,40.41327,-3.70223,Private room in rental unit,Private room,2,1.0,1.0,73.0,2,1125,4.92
previous scrape,40.4057,-3.67605,Private room in rental unit,Private room,1,1.0,1.0,19.0,2,1125,5.0
previous scrape,40.35761,-3.69723,Private room in rental unit,Private room,1,1.0,1.0,24.0,1,1125,4.94
city scrape,40.43602,-3.63506,Entire rental unit,Entire home/apt,3,2.0,2.0,54.0,4,31,4.79
city scrape,40.47281,-3.58827,Private room in home,Private room,2,4.0,1.0,28.0,60,61,5.0
city scrape,40.46088,-3.64679,Entire rental unit,Entire home/apt,3,2.0,3.0,250.0,3,1125,4.88
city scrape,40.43765,-3.70408,Entire loft,Entire home/apt,4,1.0,2.0,65.0,90,365,4.75
city scrape,40.41604,-3.70834,Entire rental unit,Entire home/apt,5,2.0,4.0,96.0,2,330,4.73
city scrape,40.42242,-3.69674,Entire rental unit,Entire home/apt,4,2.0,2.0,99.0,1,1125,4.58
city scrape,40.42286,-3.70236,Private room in rental unit,Private room,2,1.0,1.0,40.0,3,1125,4.9
previous scrape,40.39317,-3.69358,Entire home,Entire home/apt,10,5.0,9.0,70.0,3,1125,3.0
city scrape,40.45575,-3.64912,Private room in chalet,Private room,2,1.0,1.0,65.0,1,1125,4.9
city scrape,40.42386,-3.70489,Entire rental unit,Entire home/apt,4,2.0,4.0,91.0,90,200,4.48
city scrape,40.40954,-3.70096,Entire rental unit,Entire home/apt,3,1.0,1.0,62.0,2,90,4.47
city scrape,40.42301,-3.69889,Entire rental unit,Entire home/apt,2,1.0,1.0,250.0,2,30,5.0
city scrape,40.45841,-3.67598,Private room in rental unit,Private room,1,1.0,1.0,26.0,3,365,4.81
city scrape,40.419,-3.67774,Entire rental unit,Entire home/apt,4,2.0,3.0,110.0,6,30,4.94
city scrape,40.4077,-3.68473,Private room in rental unit,Private room,1,1.0,1.0,25.0,1,1125,4.81
city scrape,40.41309,-3.69775,Private room in rental unit,Private room,2,1.0,1.0,47.0,3,15,4.85
city scrape,40.42103,-3.70171,Entire rental unit,Entire home/apt,2,1.0,1.0,136.0,4,60,4.87
city scrape,40.4112,-3.69567,Entire rental unit,Entire home/apt,4,2.0,2.0,63.0,2,366,4.45
city scrape,40.42274,-3.66972,Entire rental unit,Entire home/apt,5,3.0,4.0,100.0,14,330,4.63
city scrape,40.42297,-3.69095,Entire rental unit,Entire home/apt,2,1.0,1.0,143.0,1,365,4.64
city scrape,40.41235,-3.70967,Entire rental unit,Entire home/apt,2,1.0,1.0,89.0,3,1125,4.71
city scrape,40.41319,-3.7024,Private room in rental unit,Private room,2,1.0,1.0,84.0,3,30,4.89
city scrape,40.42171,-3.69823,Entire rental unit,Entire home/apt,2,1.0,1.0,85.0,7,90,4.87
city scrape,40.41013,-3.70453,Private room in rental unit,Private room,2,1.0,1.0,65.0,3,1125,4.87
city scrape,40.40683,-3.69932,Entire rental unit,Entire home/apt,3,2.0,2.0,58.0,4,1125,4.33
city scrape,40.42556,-3.70175,Entire rental unit,Entire home/apt,4,1.0,2.0,68.0,2,360,4.53
city scrape,40.40913,-3.699,Entire rental unit,Entire home/apt,2,1.0,2.0,120.0,45,1125,4.85
city scrape,40.4152,-3.69668,Entire rental unit,Entire home/apt,5,2.0,2.0,180.0,4,365,4.85
city scrape,40.46913,-3.58258,Entire rental unit,Entire home/apt,8,4.0,7.0,116.0,2,1125,4.9
city scrape,40.41016,-3.72863,Private room in rental unit,Private room,2,1.0,1.0,20.0,2,1125,4.88
city scrape,40.39826,-3.66722,Private room in rental unit,Private room,2,1.0,2.0,31.0,2,6,4.75
city scrape,40.41126,-3.70347,Private room in rental unit,Private room,1,1.0,1.0,32.0,1,60,4.81
city scrape,40.41901,-3.70631,Entire loft,Entire home/apt,2,1.0,1.0,81.0,1,1125,4.51
city scrape,40.40646,-3.68289,Private room in rental unit,Private room,2,1.0,2.0,31.0,1,1125,4.68
city scrape,40.4739,-3.57583,Entire home,Entire home/apt,8,2.0,6.0,93.0,1,1125,4.72
city scrape,40.40625,-3.68479,Private room in rental unit,Private room,1,1.0,1.0,25.0,1,1125,4.66
previous scrape,40.44919,-3.71006,Entire rental unit,Entire home/apt,2,1.0,1.0,100.0,2,80,5.0
city scrape,40.41726,-3.70269,Entire rental unit,Entire home/apt,2,1.0,2.0,74.0,90,300,4.61
city scrape,40.42551,-3.70812,Entire rental unit,Entire home/apt,4,2.0,3.0,106.0,2,90,4.72
previous scrape,40.41151,-3.70257,Entire home,Entire home/apt,6,2.0,3.0,190.0,2,30,4.5
city scrape,40.4158,-3.70962,Entire loft,Entire home/apt,2,1.0,1.0,200.0,3,1125,4.94
city scrape,40.41498,-3.70891,Entire rental unit,Entire home/apt,2,1.0,1.0,116.0,3,1125,4.61
city scrape,40.36725,-3.68875,Private room in condo,Private room,1,1.0,1.0,46.0,4,90,4.84
city scrape,40.41906,-3.70627,Entire rental unit,Entire home/apt,4,2.0,2.0,124.0,1,1125,4.68
city scrape,40.45959,-3.64699,Private room in rental unit,Private room,2,1.0,1.0,65.0,2,365,4.94
city scrape,40.41858,-3.70077,Private room in rental unit,Private room,2,1.0,1.0,50.0,10,65,4.7
city scrape,40.42377,-3.70241,Private room in rental unit,Private room,3,3.0,2.0,28.0,1,365,4.49
previous scrape,40.43595,-3.70706,Private room in rental unit,Private room,1,1.0,1.0,25.0,25,365,4.72
city scrape,40.4078,-3.70085,Entire rental unit,Entire home/apt,3,1.0,2.0,69.0,10,1125,4.29
city scrape,40.39523,-3.7132,Private room in rental unit,Private room,1,1.0,1.0,24.0,2,1125,4.74
city scrape,40.40721,-3.64994,Entire rental unit,Entire home/apt,8,4.0,5.0,155.0,3,365,4.87
city scrape,40.40661,-3.6952,Entire rental unit,Entire home/apt,3,1.0,1.0,85.0,3,65,4.84
city scrape,40.39231,-3.72359,Private room in rental unit,Private room,3,1.0,1.0,40.0,30,365,5.0
city scrape,40.41888,-3.70645,Entire rental unit,Entire home/apt,8,3.0,3.0,227.0,1,1125,4.7
city scrape,40.41428,-3.70767,Entire rental unit,Entire home/apt,10,3.0,8.0,164.0,3,300,4.59
city scrape,40.42294,-3.70468,Entire rental unit,Entire home/apt,2,1.0,1.0,65.0,4,365,4.82
city scrape,40.41596,-3.70846,Entire condo,Entire home/apt,1,1.0,1.0,106.0,30,365,4.57
city scrape,40.42741,-3.70807,Entire rental unit,Entire home/apt,2,1.0,1.0,150.0,7,1000,4.86
city scrape,40.4312,-3.68502,Entire rental unit,Entire home/apt,4,1.0,2.0,110.0,30,365,4.5
city scrape,40.39627,-3.69926,Entire condo,Entire home/apt,2,1.0,1.0,89.0,4,30,4.83
city scrape,40.40964,-3.71139,Entire rental unit,Entire home/apt,4,1.0,2.0,64.0,1,1125,4.74
city scrape,40.457,-3.70436,Private room in rental unit,Private room,2,1.0,2.0,24.0,1,1000,4.4
city scrape,40.40196,-3.6974,Private room in rental unit,Private room,1,1.0,1.0,40.0,2,6,4.96
city scrape,40.40743,-3.74293,Private room in home,Private room,1,1.0,1.0,28.0,4,15,4.86
previous scrape,40.39366,-3.66535,Private room in rental unit,Private room,2,1.0,3.0,45.0,2,7,0.0
city scrape,40.40743,-3.70114,Entire rental unit,Entire home/apt,4,1.0,1.0,91.0,14,365,4.41
city scrape,40.40956,-3.7009,Entire rental unit,Entire home/apt,3,1.0,2.0,58.0,2,180,4.68
city scrape,40.47189,-3.62966,Entire loft,Entire home/apt,4,4.0,4.0,140.0,2,390,4.69
previous scrape,40.41769,-3.69974,Entire rental unit,Entire home/apt,4,1.0,2.0,70.0,3,9,5.0
city scrape,40.42106,-3.71121,Private room in rental unit,Private room,3,1.0,1.0,66.0,1,1125,4.67
previous scrape,40.43922,-3.67574,Private room in rental unit,Private room,1,1.0,1.0,23.0,1,4,4.84
previous scrape,40.40349,-3.70418,Entire home,Entire home/apt,2,1.0,1.0,60.0,2,4,4.64
city scrape,40.42269,-3.70378,Entire loft,Entire home/apt,2,1.0,1.0,108.0,1,1125,4.91
city scrape,40.40873,-3.69961,Entire home,Entire home/apt,4,2.0,1.0,101.0,2,1125,5.0
city scrape,40.47142,-3.62881,Entire loft,Entire home/apt,3,2.0,3.0,96.0,2,90,4.75
city scrape,40.424084,-3.708346,Entire loft,Entire home/apt,3,1.0,2.0,83.0,3,30,4.71
city scrape,40.412682,-3.702548,Entire rental unit,Entire home/apt,4,1.0,3.0,79.0,3,365,4.72
city scrape,40.4449,-3.63508,Private room in rental unit,Private room,2,1.0,2.0,50.0,2,60,4.98
previous scrape,40.47143,-3.6748,Entire condo,Entire home/apt,4,2.0,4.0,75.0,3,1125,5.0
city scrape,40.41596,-3.70431,Entire rental unit,Entire home/apt,4,2.0,2.0,168.0,2,7,4.73
previous scrape,40.41256,-3.70373,Private room in rental unit,Private room,4,1.0,4.0,10.0,3,26,4.56
city scrape,40.4093,-3.70884,Entire rental unit,Entire home/apt,3,1.0,1.0,119.0,5,45,4.71
city scrape,40.42457,-3.70802,Entire serviced apartment,Entire home/apt,4,1.0,2.0,167.0,1,365,4.81
city scrape,40.42432,-3.6399,Private room in rental unit,Private room,1,1.0,1.0,35.0,7,1125,5.0
city scrape,40.42432,-3.6399,Private room in rental unit,Private room,2,1.0,2.0,35.0,3,1125,4.5
city scrape,40.41271,-3.7005,Entire rental unit,Entire home/apt,2,1.0,2.0,58.0,28,330,4.38
