index,source,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,Entire home/apt,Hotel room,Private room,Shared room
0,city scrape,40.45724,-3.67688,2,1.0,1.0,0.2808219178082192,4,1125,4.87,0.0,0.0,1.0,0.0
1,city scrape,40.40381,-3.7413,1,1.0,1.0,0.07876712328767123,4,40,4.58,0.0,0.0,1.0,0.0
2,city scrape,40.38975,-3.69018,1,1.0,1.0,0.07191780821917808,3,1125,4.71,0.0,0.0,1.0,0.0
3,city scrape,40.41476,-3.70418,2,1.0,2.0,0.48630136986301364,5,180,4.63,1.0,0.0,0.0,0.0
4,previous scrape,40.41259,-3.70105,2,1.0,1.0,0.15753424657534246,3,730,4.38,1.0,0.0,0.0,0.0
5,city scrape,40.41969,-3.69736,4,1.0,2.0,0.3082191780821918,2,500,4.61,1.0,0.0,0.0,0.0
6,city scrape,40.42247,-3.70577,3,1.0,3.0,0.48630136986301364,5,180,4.65,1.0,0.0,0.0,0.0
7,city scrape,40.41884,-3.69655,3,1.0,2.0,0.21232876712328766,1,20,4.58,0.0,0.0,1.0,0.0
8,city scrape,40.42252,-3.7025,2,1.0,1.0,0.3116438356164383,28,360,4.37,1.0,0.0,0.0,0.0
9,city scrape,40.42252,-3.7025,2,1.0,2.0,0.2089041095890411,28,360,4.28,1.0,0.0,0.0,0.0
10,city scrape,40.40864,-3.70884,4,1.0,2.0,0.2465753424657534,8,1125,4.6,1.0,0.0,0.0,0.0
11,previous scrape,40.42342,-3.68123,2,1.0,1.0,0.18835616438356162,3,365,4.78,1.0,0.0,0.0,0.0
12,previous scrape,40.40866,-3.70374,2,1.0,1.0,0.2465753424657534,7,1125,4.68,1.0,0.0,0.0,0.0
13,city scrape,40.40939,-3.69812,5,3.0,3.0,0.46232876712328763,4,365,4.81,1.0,0.0,0.0,0.0
14,city scrape,40.41358,-3.71353,6,2.0,3.0,0.5205479452054794,3,1125,4.82,1.0,0.0,0.0,0.0
15,city scrape,40.42792,-3.67682,3,2.0,2.0,0.547945205479452,10,999,4.82,1.0,0.0,0.0,0.0
16,city scrape,40.42378,-3.70248,3,1.0,2.0,0.07534246575342465,1,1125,4.5,0.0,0.0,1.0,0.0
17,previous scrape,40.50044,-3.67032,2,1.0,1.0,0.1780821917808219,2,30,4.67,1.0,0.0,0.0,0.0
18,city scrape,40.41189,-3.70107,2,1.0,1.0,0.2226027397260274,1,1125,4.42,1.0,0.0,0.0,0.0
19,city scrape,40.42943,-3.71594,3,2.0,2.0,0.21232876712328766,11,365,4.57,1.0,0.0,0.0,0.0
20,city scrape,40.43815,-3.69764,4,2.0,3.0,0.3150684931506849,2,30,4.57,1.0,0.0,0.0,0.0
21,previous scrape,40.40115,-3.69657,8,3.0,6.0,0.48287671232876705,3,1125,4.18,1.0,0.0,0.0,0.0
22,city scrape,40.42297,-3.61193,2,1.0,1.0,0.07534246575342465,5,1000,4.76,0.0,0.0,1.0,0.0
23,city scrape,40.42555,-3.70379,3,1.0,2.0,0.06506849315068493,2,1120,4.64,0.0,0.0,1.0,0.0
24,city scrape,40.42756,-3.61577,2,1.0,2.0,0.07534246575342465,5,1000,4.57,0.0,0.0,1.0,0.0
25,city scrape,40.4382,-3.69389,4,1.0,2.0,0.2636986301369863,2,90,4.56,1.0,0.0,0.0,0.0
26,city scrape,40.42398,-3.70451,3,1.0,1.0,0.0993150684931507,2,1124,4.13,0.0,0.0,1.0,0.0
27,city scrape,40.41143,-3.70912,2,1.0,2.0,0.0993150684931507,1,365,4.77,0.0,0.0,1.0,0.0
28,city scrape,40.47731,-3.66659,1,1.0,1.0,0.0547945205479452,1,1125,4.93,0.0,0.0,1.0,0.0
29,city scrape,40.41012,-3.69709,1,1.0,1.0,0.08561643835616438,3,730,4.78,0.0,0.0,1.0,0.0
30,city scrape,40.41152,-3.70991,5,2.0,2.0,0.5684931506849314,4,60,4.67,1.0,0.0,0.0,0.0
31,city scrape,40.41027,-3.7122,6,3.0,5.0,0.7431506849315068,1,1125,4.77,1.0,0.0,0.0,0.0
32,city scrape,40.42162,-3.71158,2,1.0,1.0,0.1952054794520548,5,1125,4.68,1.0,0.0,0.0,0.0
33,city scrape,40.41327,-3.70223,2,1.0,1.0,0.2226027397260274,2,1125,4.92,0.0,0.0,1.0,0.0
34,previous scrape,40.4057,-3.67605,1,1.0,1.0,0.03767123287671233,2,1125,5.0,0.0,0.0,1.0,0.0
35,previous scrape,40.35761,-3.69723,1,1.0,1.0,0.0547945205479452,1,1125,4.94,0.0,0.0,1.0,0.0
36,city scrape,40.43602,-3.63506,3,2.0,2.0,0.15753424657534246,4,31,4.79,1.0,0.0,0.0,0.0
37,city scrape,40.47281,-3.58827,2,4.0,1.0,0.0684931506849315,60,61,5.0,0.0,0.0,1.0,0.0
38,city scrape,40.46088,-3.64679,3,2.0,3.0,0.8287671232876712,3,1125,4.88,1.0,0.0,0.0,0.0
39,city scrape,40.43765,-3.70408,4,1.0,2.0,0.1952054794520548,90,365,4.75,1.0,0.0,0.0,0.0
40,city scrape,40.41604,-3.70834,5,2.0,4.0,0.3013698630136986,2,330,4.73,1.0,0.0,0.0,0.0
41,city scrape,40.42242,-3.69674,4,2.0,2.0,0.3116438356164383,1,1125,4.58,1.0,0.0,0.0,0.0
42,city scrape,40.42286,-3.70236,2,1.0,1.0,0.1095890410958904,3,1125,4.9,0.0,0.0,1.0,0.0
43,previous scrape,40.39317,-3.69358,10,5.0,9.0,0.21232876712328766,3,1125,3.0,1.0,0.0,0.0,0.0
44,city scrape,40.45575,-3.64912,2,1.0,1.0,0.1952054794520548,1,1125,4.9,0.0,0.0,1.0,0.0
45,city scrape,40.42386,-3.70489,4,2.0,4.0,0.2842465753424657,90,200,4.48,1.0,0.0,0.0,0.0
46,city scrape,40.40954,-3.70096,3,1.0,1.0,0.18493150684931506,2,90,4.47,1.0,0.0,0.0,0.0
47,city scrape,40.42301,-3.69889,2,1.0,1.0,0.8287671232876712,2,30,5.0,1.0,0.0,0.0,0.0
48,city scrape,40.45841,-3.67598,1,1.0,1.0,0.06164383561643835,3,365,4.81,0.0,0.0,1.0,0.0
49,city scrape,40.419,-3.67774,4,2.0,3.0,0.34931506849315064,6,30,4.94,1.0,0.0,0.0,0.0
50,city scrape,40.4077,-3.68473,1,1.0,1.0,0.05821917808219178,1,1125,4.81,0.0,0.0,1.0,0.0
51,city scrape,40.41309,-3.69775,2,1.0,1.0,0.13356164383561642,3,15,4.85,0.0,0.0,1.0,0.0
52,city scrape,40.42103,-3.70171,2,1.0,1.0,0.4383561643835616,4,60,4.87,1.0,0.0,0.0,0.0
53,city scrape,40.4112,-3.69567,4,2.0,2.0,0.18835616438356162,2,366,4.45,1.0,0.0,0.0,0.0
54,city scrape,40.42274,-3.66972,5,3.0,4.0,0.3150684931506849,14,330,4.63,1.0,0.0,0.0,0.0
55,city scrape,40.42297,-3.69095,2,1.0,1.0,0.46232876712328763,1,365,4.64,1.0,0.0,0.0,0.0
56,city scrape,40.41235,-3.70967,2,1.0,1.0,0.2773972602739726,3,1125,4.71,1.0,0.0,0.0,0.0
57,city scrape,40.41319,-3.7024,2,1.0,1.0,0.2602739726027397,3,30,4.89,0.0,0.0,1.0,0.0
58,city scrape,40.42171,-3.69823,2,1.0,1.0,0.2636986301369863,7,90,4.87,1.0,0.0,0.0,0.0
